index,state_id,store_id,cat_id,dept_id,item_id,price,start_day,end_day,price_prev,price_increase_ind
0,6,0,0,0,1,1.97,1,273,,0
1,6,0,0,0,1,2.24,274,1806,1.97,1
2,6,0,0,0,1,2.48,1807,1969,2.24,1
3,6,0,0,0,7,1.97,1,1302,,0
4,6,0,0,0,7,2.0,1303,1969,1.97,1
5,6,0,0,0,11,1.97,1,1302,,0
6,6,0,0,0,11,2.0,1303,1969,1.97,1
7,6,0,0,0,14,7.97,1,189,,0
9,6,0,0,0,14,8.98,190,1337,7.97,1
8,6,0,0,0,14,7.98,1107,1120,,0
11,6,0,0,0,14,9.98,1338,1969,8.98,1
10,6,0,0,0,14,9.94,1632,1939,,0
22,6,0,0,0,16,6.08,183,483,,0
12,6,0,0,0,16,5.09,484,525,6.08,0
13,6,0,0,0,16,5.16,526,833,5.09,1
14,6,0,0,0,16,5.23,834,896,5.16,1
15,6,0,0,0,16,5.3,897,1064,5.23,1
16,6,0,0,0,16,5.33,1065,1211,5.3,1
17,6,0,0,0,16,5.4,1212,1400,5.33,1
18,6,0,0,0,16,5.48,1401,1582,5.4,1
19,6,0,0,0,16,5.56,1583,1771,5.48,1
21,6,0,0,0,16,5.64,1772,1953,5.56,1
20,6,0,0,0,16,5.57,1954,1969,5.64,0
23,6,0,0,1,20,8.96,1107,1969,,0
24,6,0,0,1,30,3.25,1,420,,0
26,6,0,0,1,30,3.78,421,959,3.25,1
25,6,0,0,1,30,3.48,470,644,,0
27,6,0,0,1,30,3.88,960,1092,3.78,1
28,6,0,0,1,30,3.97,1093,1969,3.88,1
29,6,0,0,1,30,3.98,1261,1442,,0
31,6,0,0,1,31,1.58,1177,1969,,0
30,6,0,0,1,31,1.25,1289,1330,,0
32,6,0,0,1,37,0.64,1,168,,0
33,6,0,0,1,37,0.72,169,427,0.64,1
34,6,0,0,1,37,0.88,428,1281,0.72,1
35,6,0,0,1,37,0.94,1282,1969,0.88,1
36,6,0,0,1,37,0.98,1856,1869,,0
39,6,0,0,2,44,2.98,1030,1969,,0
40,6,0,0,2,44,3.28,1149,1281,,0
37,6,0,0,2,44,2.5,1331,1463,,0
38,6,0,0,2,44,2.88,1695,1722,,0
42,6,0,0,2,83,3.98,771,1757,,0
41,6,0,0,2,83,3.64,1758,1969,3.98,0
43,6,0,0,2,89,2.98,1296,1969,,0
44,6,0,0,2,91,1.78,365,532,,0
45,6,0,0,2,91,1.88,533,1969,1.78,1
46,6,0,1,3,95,7.68,386,1969,,0
47,6,0,1,3,98,4.88,470,1969,,0
48,6,0,1,3,104,4.48,386,1969,,0
49,6,0,1,3,109,8.98,1142,1969,,0
50,6,0,2,5,138,11.97,1,1969,,0
51,6,0,2,5,138,12.47,169,602,,0
53,6,0,2,5,142,15.78,169,819,,0
54,6,0,2,5,142,17.97,820,1969,15.78,1
52,6,0,2,5,142,15.0,1709,1715,,0
56,6,0,2,5,143,2.76,386,1969,,0
55,6,0,2,5,143,2.72,1261,1799,,0
57,6,0,2,5,153,5.47,379,427,,0
60,6,0,2,5,153,6.64,428,966,5.47,1
59,6,0,2,5,153,5.98,967,1841,6.64,0
58,6,0,2,5,153,5.88,1842,1969,5.98,0
62,6,0,2,5,159,10.47,43,196,,0
63,6,0,2,5,159,10.97,197,882,10.47,1
61,6,0,2,5,159,9.97,883,1969,10.97,0
64,6,0,2,6,162,5.48,8,1969,,0
65,6,0,2,6,167,7.24,988,1925,,0
66,6,0,2,6,167,7.54,1926,1969,7.24,1
77,6,1,0,0,2,6.14,505,518,,0
67,6,1,0,0,2,5.09,519,532,6.14,0
68,6,1,0,0,2,5.16,533,693,5.09,1
69,6,1,0,0,2,5.23,694,889,5.16,1
70,6,1,0,0,2,5.3,890,1071,5.23,1
71,6,1,0,0,2,5.33,1072,1246,5.3,1
72,6,1,0,0,2,5.4,1247,1400,5.33,1
73,6,1,0,0,2,5.48,1401,1575,5.4,1
74,6,1,0,0,2,5.56,1576,1771,5.48,1
75,6,1,0,0,2,5.64,1772,1946,5.56,1
76,6,1,0,0,2,5.72,1947,1969,5.64,1
79,6,1,0,1,17,2.28,1583,1813,,0
78,6,1,0,1,17,2.0,1814,1969,2.28,0
80,6,1,0,1,33,9.98,1520,1969,,0
81,6,1,0,2,46,1.0,540,1969,,0
82,6,1,0,2,46,1.25,603,1680,,0
86,6,1,0,2,75,0.88,1,588,,0
83,6,1,0,2,75,0.78,225,728,,0
85,6,1,0,2,75,0.82,253,1267,,0
84,6,1,0,2,75,0.8,729,1969,0.78,1
87,6,1,0,2,78,6.98,29,1932,,0
88,6,1,0,2,78,7.48,806,1969,,0
90,6,1,1,3,93,17.97,897,1969,,0
89,6,1,1,3,93,9.0,1198,1225,,0
92,6,1,1,3,106,21.78,1093,1659,,0
91,6,1,1,3,106,19.94,1660,1969,21.78,0
93,6,1,1,3,114,3.97,1,1969,,0
94,6,1,1,4,123,0.88,1247,1969,,0
95,6,1,2,5,130,4.97,1,168,,0
96,6,1,2,5,130,5.64,169,1477,4.97,1
97,6,1,2,5,130,5.97,1478,1969,5.64,1
99,6,1,2,5,139,5.97,29,1316,,0
98,6,1,2,5,139,5.94,1317,1969,5.97,0
100,6,1,2,5,140,1.97,1,1969,,0
103,6,1,2,5,156,7.12,806,1365,,0
102,6,1,2,5,156,6.97,813,945,,0
105,6,1,2,5,156,7.88,1198,1316,,0
104,6,1,2,5,156,7.48,1317,1969,7.88,0
101,6,1,2,5,156,5.0,1926,1932,,0
106,6,2,0,0,0,7.88,1,252,,0
107,6,2,0,0,0,8.88,253,1372,7.88,1
108,6,2,0,0,0,9.48,1373,1969,8.88,1
109,6,2,0,0,3,2.48,533,1969,,0
111,6,2,0,0,5,1.0,1,133,,0
110,6,2,0,0,5,0.98,134,1969,1.0,0
112,6,2,0,0,9,2.78,1401,1736,,0
113,6,2,0,0,9,2.98,1737,1969,2.78,1
115,6,2,0,1,23,6.84,1,301,,0
118,6,2,0,1,23,7.24,302,798,6.84,1
114,6,2,0,1,23,5.98,624,1099,,0
117,6,2,0,1,23,6.98,1072,1267,,0
119,6,2,0,1,23,7.98,1268,1969,6.98,1
116,6,2,0,1,23,6.86,1527,1603,,0
122,6,2,0,1,34,2.74,197,231,,0
123,6,2,0,1,34,2.78,232,273,2.74,1
125,6,2,0,1,34,3.23,274,399,2.78,1
124,6,2,0,1,34,2.98,400,1969,3.23,0
120,6,2,0,1,34,2.0,1093,1120,,0
121,6,2,0,1,34,2.39,1751,1806,,0
126,6,2,0,2,60,0.2,1,1862,,0
127,6,2,0,2,60,0.25,1863,1969,0.2,1
128,6,2,0,2,72,1.0,1,1785,,0
129,6,2,0,2,72,1.18,253,1969,,0
131,6,2,0,2,77,1.98,1,420,,0
130,6,2,0,2,77,1.74,421,1969,1.98,0
132,6,2,0,2,81,3.5,911,1876,,0
133,6,2,0,2,81,3.56,1877,1969,3.5,1
134,6,2,0,2,84,1.28,1,63,,0
135,6,2,0,2,84,1.38,64,672,1.28,1
136,6,2,0,2,84,1.48,673,1820,1.38,1
137,6,2,0,2,84,1.54,1821,1869,1.48,1
138,6,2,0,2,84,1.68,1870,1969,1.54,1
139,6,2,0,2,86,5.98,946,1969,,0
140,6,2,1,3,102,3.98,379,1969,,0
141,6,2,1,4,118,2.47,15,1969,,0
142,6,2,1,4,121,2.97,15,1969,,0
143,6,2,2,5,132,2.73,43,1969,,0
144,6,2,2,5,155,7.97,1,1969,,0
146,6,2,2,6,165,14.97,1,133,,0
145,6,2,2,6,165,9.98,134,1969,14.97,0
147,6,2,2,6,168,7.47,1,364,,0
148,6,2,2,6,168,7.94,365,1176,7.47,1
149,6,2,2,6,168,7.97,1177,1969,7.94,1
151,6,3,0,2,42,4.28,57,441,,0
150,6,3,0,2,42,3.98,442,1969,4.28,0
152,6,3,0,2,48,2.98,680,1969,,0
153,6,3,0,2,53,2.98,1,1969,,0
154,6,3,0,2,71,1.98,155,182,,0
155,6,3,0,2,71,2.5,183,1862,1.98,1
156,6,3,0,2,71,2.56,1863,1969,2.5,1
157,6,3,0,2,74,2.5,855,1862,,0
158,6,3,0,2,74,2.56,1863,1969,2.5,1
159,6,3,0,2,80,2.88,834,1969,,0
161,6,3,0,2,85,1.98,1,560,,0
160,6,3,0,2,85,1.74,561,1969,1.98,0
162,6,3,1,3,94,19.88,519,707,,0
164,6,3,1,3,94,20.38,708,1757,19.88,1
163,6,3,1,3,94,19.96,1758,1969,20.38,0
165,6,3,1,3,99,5.36,344,427,,0
166,6,3,1,3,99,6.18,428,1603,5.36,1
167,6,3,1,3,99,6.38,1604,1969,6.18,1
168,6,3,1,3,105,5.94,1184,1969,,0
170,6,3,1,3,115,0.72,386,1008,,0
169,6,3,1,3,115,0.7,1009,1969,0.72,0
172,6,3,1,4,120,0.57,834,1337,,0
171,6,3,1,4,120,0.5,1338,1969,0.57,0
173,6,3,2,5,131,3.92,1,7,,0
174,6,3,2,5,131,3.97,8,1969,3.92,1
175,6,3,2,5,131,4.47,246,1624,,0
177,6,3,2,5,137,4.47,8,945,,0
176,6,3,2,5,137,3.97,946,1969,4.47,0
178,6,3,2,5,155,7.97,1,1969,,0
180,6,3,2,5,158,11.97,1121,1484,,0
179,6,3,2,5,158,11.47,1485,1750,11.97,0
181,6,3,2,5,158,11.98,1751,1969,11.47,1
183,6,3,2,6,166,6.47,1,973,,0
182,6,3,2,6,166,5.94,974,1969,6.47,0
184,6,3,2,6,169,12.97,85,1969,,0
185,6,3,2,6,176,4.47,29,273,,0
186,6,3,2,6,176,4.77,274,1969,4.47,1
187,6,3,2,6,178,6.97,8,1197,,0
188,6,3,2,6,178,7.47,1198,1969,6.97,1
192,48,4,0,1,26,1.88,43,224,,0
189,48,4,0,1,26,1.0,169,231,,0
193,48,4,0,1,26,2.0,232,266,1.0,1
195,48,4,0,1,26,2.24,267,518,2.0,1
194,48,4,0,1,26,2.18,519,1969,2.24,0
190,48,4,0,1,26,1.74,1121,1211,,0
191,48,4,0,1,26,1.87,1212,1414,1.74,1
196,48,4,0,1,29,4.25,22,70,,0
197,48,4,0,1,29,5.25,71,273,4.25,1
199,48,4,0,1,29,5.76,274,315,5.25,1
200,48,4,0,1,29,5.92,316,1969,5.76,1
198,48,4,0,1,29,5.47,435,651,,0
201,48,4,0,1,29,5.98,722,1267,,0
202,48,4,0,1,29,6.32,1436,1477,,0
203,48,4,0,2,45,2.98,1142,1969,,0
206,48,4,0,2,52,4.78,1,112,,0
208,48,4,0,2,52,4.98,113,1969,4.78,1
207,48,4,0,2,52,4.93,155,1092,,0
204,48,4,0,2,52,2.0,883,917,,0
205,48,4,0,2,52,2.5,953,1015,,0
209,48,4,0,2,58,0.98,1079,1113,,0
210,48,4,0,2,58,1.0,1114,1659,0.98,1
211,48,4,0,2,58,1.18,1317,1743,,0
212,48,4,0,2,58,1.28,1744,1969,1.18,1
213,48,4,0,2,86,5.98,946,1969,,0
215,48,4,1,3,113,11.97,1,70,,0
217,48,4,1,3,113,12.28,71,147,11.97,1
216,48,4,1,3,113,11.98,148,154,12.28,0
214,48,4,1,3,113,11.68,155,658,11.98,0
218,48,4,1,3,113,12.78,659,1969,11.68,1
219,48,4,1,3,117,3.88,22,1969,,0
221,48,4,1,4,125,2.47,834,1029,,0
220,48,4,1,4,125,1.97,1030,1969,2.47,0
222,48,4,1,4,126,1.97,8,560,,0
223,48,4,1,4,126,2.47,561,1969,1.97,1
226,48,4,2,5,128,6.32,1,70,,0
225,48,4,2,5,128,6.27,71,147,6.32,0
227,48,4,2,5,128,6.97,148,378,6.27,1
224,48,4,2,5,128,5.97,379,1969,6.97,0
230,48,4,2,5,145,4.88,1,1969,,0
229,48,4,2,5,145,4.5,239,322,,0
228,48,4,2,5,145,3.99,449,455,,0
231,48,4,2,5,154,2.48,554,1470,,0
232,48,4,2,5,154,2.58,1471,1841,2.48,1
233,48,4,2,5,154,2.62,1842,1969,2.58,1
235,48,4,2,6,170,6.97,1,1155,,0
236,48,4,2,6,170,7.47,1156,1708,6.97,1
234,48,4,2,6,170,6.96,1709,1969,7.47,0
237,48,4,2,6,173,4.67,1,378,,0
238,48,4,2,6,173,4.97,379,1694,4.67,1
239,48,4,2,6,173,5.27,477,1969,,0
241,48,5,0,0,6,2.94,1,203,,0
242,48,5,0,0,6,3.28,204,1295,2.94,1
240,48,5,0,0,6,2.5,610,616,,0
243,48,5,0,0,6,3.54,1296,1969,3.28,1
244,48,5,0,0,10,3.97,1,189,,0
245,48,5,0,0,10,4.74,190,1344,3.97,1
246,48,5,0,0,10,4.86,1345,1969,4.74,1
249,48,5,0,0,12,1.68,71,245,,0
250,48,5,0,0,12,1.88,246,1365,1.68,1
247,48,5,0,0,12,0.99,309,315,,0
248,48,5,0,0,12,1.33,477,497,,0
251,48,5,0,0,12,1.98,1366,1969,1.88,1
252,48,5,0,1,21,10.97,1352,1969,,0
254,48,5,0,1,25,0.98,15,1358,,0
253,48,5,0,1,25,0.89,169,175,,0
255,48,5,0,1,25,1.0,1359,1969,0.98,1
256,48,5,0,1,27,1.5,743,1386,,0
259,48,5,0,1,27,1.77,813,917,,0
258,48,5,0,1,27,1.75,1387,1477,1.5,1
260,48,5,0,1,27,1.78,1478,1855,1.75,1
257,48,5,0,1,27,1.58,1856,1969,1.78,0
261,48,5,0,2,49,4.98,1352,1969,,0
262,48,5,0,2,54,2.98,470,1969,,0
268,48,5,0,2,56,2.28,358,805,,0
264,48,5,0,2,56,1.88,477,483,,0
263,48,5,0,2,56,1.68,806,812,2.28,0
266,48,5,0,2,56,2.18,813,931,1.68,1
267,48,5,0,2,56,2.25,932,1449,2.18,1
265,48,5,0,2,56,1.98,1450,1561,2.25,0
269,48,5,0,2,56,2.48,1562,1969,1.98,1
270,48,5,0,2,69,1.88,1,7,,0
271,48,5,0,2,69,1.98,8,1969,1.88,1
272,48,5,0,2,69,2.08,260,455,,0
274,48,5,0,2,73,1.98,1,189,,0
275,48,5,0,2,73,2.18,190,406,1.98,1
276,48,5,0,2,73,2.58,407,441,2.18,1
277,48,5,0,2,73,2.78,442,1631,2.58,1
273,48,5,0,2,73,1.5,694,714,,0
278,48,5,0,2,73,2.98,1632,1969,2.78,1
279,48,5,0,2,79,1.98,1261,1969,,0
281,48,5,1,4,119,0.87,456,511,,0
282,48,5,1,4,119,0.97,512,1969,0.87,1
280,48,5,1,4,119,0.5,1212,1218,,0
283,48,5,1,4,124,0.97,1,1969,,0
284,48,5,1,4,127,3.97,36,42,,0
286,48,5,1,4,127,6.97,43,1351,3.97,1
285,48,5,1,4,127,4.97,1352,1969,6.97,0
288,48,5,2,6,161,4.67,1,1001,,0
289,48,5,2,6,161,4.97,1002,1969,4.67,1
287,48,5,2,6,161,2.97,1779,1799,,0
290,48,5,2,6,164,5.94,1,1969,,0
294,48,5,2,6,177,7.27,1,651,,0
293,48,5,2,6,177,7.24,652,1918,7.27,0
291,48,5,2,6,177,4.97,687,693,,0
292,48,5,2,6,177,5.47,701,707,,0
295,48,5,2,6,177,7.54,1919,1969,7.24,1
307,48,6,0,0,13,5.72,484,882,,0
296,48,6,0,0,13,4.46,883,896,5.72,0
297,48,6,0,0,13,5.08,897,1064,4.46,1
298,48,6,0,0,13,5.11,1065,1218,5.08,1
299,48,6,0,0,13,5.18,1219,1309,5.11,1
300,48,6,0,0,13,5.23,1310,1407,5.18,1
301,48,6,0,0,13,5.3,1408,1582,5.23,1
303,48,6,0,0,13,5.38,1583,1631,5.3,1
304,48,6,0,0,13,5.39,1632,1778,5.38,1
306,48,6,0,0,13,5.47,1779,1834,5.39,1
302,48,6,0,0,13,5.37,1835,1946,5.47,0
305,48,6,0,0,13,5.45,1947,1969,5.37,1
313,48,6,0,1,32,6.98,1,1969,,0
309,48,6,0,1,32,6.47,57,259,,0
311,48,6,0,1,32,6.88,281,336,,0
314,48,6,0,1,32,7.26,813,854,,0
315,48,6,0,1,32,7.47,855,1295,7.26,1
310,48,6,0,1,32,6.78,1107,1120,,0
308,48,6,0,1,32,5.98,1121,1246,6.78,0
312,48,6,0,1,32,6.96,1247,1281,5.98,1
317,48,6,0,2,40,1.98,1,315,,0
316,48,6,0,2,40,1.88,316,1969,1.98,0
322,48,6,0,2,43,2.98,715,1969,,0
321,48,6,0,2,43,2.88,834,882,,0
320,48,6,0,2,43,2.5,841,854,,0
318,48,6,0,2,43,1.88,1772,1778,,0
319,48,6,0,2,43,1.99,1835,1855,,0
324,48,6,0,2,55,1.98,1,1969,,0
323,48,6,0,2,55,1.76,22,826,,0
325,48,6,0,2,59,2.5,785,1855,,0
326,48,6,0,2,59,2.56,1856,1969,2.5,1
327,48,6,0,2,61,2.98,344,1969,,0
328,48,6,0,2,63,2.47,1,28,,0
329,48,6,0,2,63,2.48,29,1969,2.47,1
330,48,6,0,2,63,2.68,400,1883,,0
333,48,6,0,2,82,2.98,722,1969,,0
332,48,6,0,2,82,2.88,834,889,,0
331,48,6,0,2,82,2.5,855,861,,0
334,48,6,1,3,107,0.7,1,1969,,0
335,48,6,1,3,107,0.72,29,1015,,0
337,48,6,1,3,110,5.68,1,448,,0
338,48,6,1,3,110,5.77,449,1969,5.68,1
336,48,6,1,3,110,5.36,1219,1561,,0
341,48,6,1,3,111,2.63,953,1568,,0
339,48,6,1,3,111,1.0,1086,1092,,0
340,48,6,1,3,111,2.46,1569,1848,2.63,0
342,48,6,1,3,111,2.74,1849,1969,2.46,1
343,48,6,1,4,122,0.97,876,1969,,0
344,48,6,2,5,129,2.87,1107,1505,,0
346,48,6,2,5,129,3.17,1506,1969,2.87,1
345,48,6,2,5,129,3.12,1800,1834,,0
347,48,6,2,5,134,3.5,568,1484,,0
348,48,6,2,5,134,3.84,1485,1743,3.5,1
349,48,6,2,5,134,3.97,1744,1969,3.84,1
353,48,6,2,5,144,4.97,1107,1969,,0
352,48,6,2,5,144,4.88,1289,1729,,0
351,48,6,2,5,144,3.0,1583,1589,,0
350,48,6,2,5,144,1.99,1597,1603,,0
354,48,6,2,5,157,4.88,911,1969,,0
356,48,6,2,6,172,5.47,113,357,,0
357,48,6,2,6,172,5.94,358,1969,5.47,1
355,48,6,2,6,172,4.97,1415,1512,,0
358,55,7,0,0,4,1.76,57,168,,0
360,55,7,0,0,4,1.97,169,756,1.76,1
359,55,7,0,0,4,1.78,757,1969,1.97,0
361,55,7,0,1,18,7.97,743,1969,,0
362,55,7,0,1,18,7.98,1877,1911,,0
363,55,7,0,1,35,3.48,631,637,,0
364,55,7,0,1,35,3.78,638,966,3.48,1
365,55,7,0,1,35,3.88,967,1092,3.78,1
366,55,7,0,1,35,3.97,1093,1969,3.88,1
367,55,7,0,1,35,3.98,1261,1442,,0
368,55,7,0,1,36,5.98,638,1969,,0
369,55,7,0,1,36,6.33,820,868,,0
371,55,7,0,1,38,2.77,1233,1701,,0
370,55,7,0,1,38,2.5,1702,1969,2.77,0
373,55,7,0,1,39,1.98,638,1001,,0
372,55,7,0,1,39,1.88,1002,1113,1.98,0
374,55,7,0,1,39,2.0,1114,1969,1.88,1
376,55,7,0,1,39,2.1,1247,1260,,0
377,55,7,0,1,39,2.14,1261,1631,2.1,1
375,55,7,0,1,39,2.08,1408,1596,,0
379,55,7,0,2,50,2.58,1,245,,0
380,55,7,0,2,50,2.68,246,1969,2.58,1
381,55,7,0,2,50,2.78,680,742,,0
378,55,7,0,2,50,2.5,743,938,2.78,0
382,55,7,0,2,62,3.98,631,1969,,0
383,55,7,1,3,92,5.98,1,35,,0
384,55,7,1,3,92,6.27,36,343,5.98,1
385,55,7,1,3,92,6.52,344,1969,6.27,1
386,55,7,1,3,96,1.77,911,1969,,0
387,55,7,1,3,101,19.98,974,1218,,0
388,55,7,1,3,101,21.97,1219,1470,19.98,1
389,55,7,1,3,101,22.98,1471,1969,21.97,1
390,55,7,2,5,135,4.98,897,1969,,0
393,55,7,2,5,146,9.97,813,980,,0
392,55,7,2,5,146,9.74,981,1969,9.97,0
391,55,7,2,5,146,2.0,1527,1533,,0
394,55,7,2,5,148,5.96,218,1969,,0
395,55,7,2,5,149,1.97,1,1969,,0
396,55,7,2,5,151,4.57,932,1969,,0
398,55,7,2,6,163,3.12,8,931,,0
397,55,7,2,6,163,2.97,463,553,,0
399,55,7,2,6,163,3.47,932,1969,3.12,1
401,55,7,2,6,170,6.97,1,1162,,0
402,55,7,2,6,170,7.47,1163,1708,6.97,1
400,55,7,2,6,170,6.96,1709,1969,7.47,0
404,55,7,2,6,174,4.47,1,210,,0
405,55,7,2,6,174,4.97,211,1176,4.47,1
403,55,7,2,6,174,3.0,953,959,,0
406,55,7,2,6,174,5.27,1177,1969,4.97,1
407,55,7,2,6,179,0.78,1,1969,,0
408,55,8,0,0,2,6.79,519,693,,0
409,55,8,0,0,2,6.86,694,917,6.79,1
410,55,8,0,0,2,6.93,918,1071,6.86,1
411,55,8,0,0,2,6.96,1072,1239,6.93,1
412,55,8,0,0,2,7.03,1240,1484,6.96,1
413,55,8,0,0,2,7.1,1485,1596,7.03,1
414,55,8,0,0,2,7.18,1597,1631,7.1,1
415,55,8,0,0,2,7.19,1632,1764,7.18,1
416,55,8,0,0,2,7.27,1765,1953,7.19,1
417,55,8,0,0,2,7.35,1954,1969,7.27,1
418,55,8,0,0,8,6.79,512,693,,0
419,55,8,0,0,8,6.86,694,938,6.79,1
420,55,8,0,0,8,6.93,939,1064,6.86,1
421,55,8,0,0,8,6.96,1065,1225,6.93,1
422,55,8,0,0,8,7.03,1226,1414,6.96,1
423,55,8,0,0,8,7.1,1415,1575,7.03,1
424,55,8,0,0,8,7.18,1576,1624,7.1,1
425,55,8,0,0,8,7.19,1625,1771,7.18,1
426,55,8,0,0,8,7.27,1772,1953,7.19,1
427,55,8,0,0,8,7.35,1954,1969,7.27,1
428,55,8,0,0,15,2.98,1121,1969,,0
429,55,8,0,1,28,1.0,624,1969,,0
431,55,8,0,2,47,2.98,1,56,,0
430,55,8,0,2,47,2.78,57,133,2.98,0
432,55,8,0,2,47,3.28,134,1969,2.78,1
436,55,8,0,2,51,4.28,1,1365,,0
437,55,8,0,2,51,4.38,190,385,,0
435,55,8,0,2,51,4.18,939,966,,0
434,55,8,0,2,51,3.94,967,1183,4.18,0
439,55,8,0,2,51,4.48,1366,1505,4.28,1
438,55,8,0,2,51,4.44,1506,1969,4.48,0
433,55,8,0,2,51,2.5,1576,1582,,0
440,55,8,0,2,57,2.48,645,1969,,0
441,55,8,0,2,87,4.88,470,679,,0
442,55,8,0,2,87,4.98,680,1969,4.88,1
443,55,8,0,2,90,1.98,1,238,,0
444,55,8,0,2,90,2.08,239,1435,1.98,1
445,55,8,0,2,90,2.18,1436,1969,2.08,1
447,55,8,1,3,100,1.88,1149,1841,,0
446,55,8,1,3,100,1.77,1842,1969,1.88,0
449,55,8,1,3,112,2.82,15,49,,0
448,55,8,1,3,112,2.79,50,350,2.82,0
450,55,8,1,3,112,2.84,351,749,2.79,1
451,55,8,1,3,112,2.88,750,1969,2.84,1
452,55,8,1,3,116,12.98,1149,1969,,0
453,55,8,2,5,133,4.74,1,525,,0
454,55,8,2,5,133,5.22,526,1969,4.74,1
455,55,8,2,5,150,3.42,337,1969,,0
459,55,8,2,6,171,11.67,1,35,,0
458,55,8,2,6,171,10.97,36,707,11.67,0
457,55,8,2,6,171,9.96,708,1589,10.97,0
456,55,8,2,6,171,9.93,1590,1969,9.96,0
460,55,8,2,6,175,6.24,463,1969,,0
461,55,9,0,1,19,3.5,1541,1582,,0
462,55,9,0,1,19,3.84,1583,1708,3.5,1
463,55,9,0,1,19,3.98,1709,1969,3.84,1
464,55,9,0,1,22,1.98,358,364,,0
466,55,9,0,1,22,2.62,365,1281,1.98,1
467,55,9,0,1,22,2.68,372,413,,0
468,55,9,0,1,22,2.88,414,1645,2.68,1
469,55,9,0,1,22,2.97,1247,1260,,0
465,55,9,0,1,22,2.5,1646,1969,2.88,0
470,55,9,0,1,24,5.94,757,910,,0
472,55,9,0,1,24,6.36,911,1400,5.94,1
471,55,9,0,1,24,5.97,1401,1969,6.36,0
473,55,9,0,2,41,2.5,1093,1969,,0
474,55,9,0,2,64,1.98,1156,1969,,0
475,55,9,0,2,65,3.98,1317,1969,,0
476,55,9,0,2,66,1.98,764,1969,,0
477,55,9,0,2,67,2.78,1093,1969,,0
478,55,9,0,2,68,3.28,1198,1969,,0
479,55,9,0,2,70,4.97,400,1435,,0
480,55,9,0,2,70,5.18,407,1969,,0
481,55,9,0,2,76,3.78,1471,1969,,0
485,55,9,0,2,88,3.98,1,1969,,0
482,55,9,0,2,88,2.98,15,1127,,0
483,55,9,0,2,88,3.0,1163,1302,,0
484,55,9,0,2,88,3.33,1450,1743,,0
486,55,9,0,2,88,4.48,1744,1834,3.33,1
487,55,9,1,3,97,4.48,533,651,,0
488,55,9,1,3,97,4.88,652,1969,4.48,1
489,55,9,1,3,103,1.97,43,1969,,0
490,55,9,1,3,108,1.88,400,1969,,0
491,55,9,2,5,136,2.97,393,1969,,0
493,55,9,2,5,141,3.38,820,1435,,0
492,55,9,2,5,141,2.96,1436,1969,3.38,0
495,55,9,2,5,147,0.98,484,1729,,0
494,55,9,2,5,147,0.97,1730,1969,0.98,0
496,55,9,2,5,152,6.97,1576,1969,,0
498,55,9,2,5,160,3.97,1,1267,,0
497,55,9,2,5,160,3.93,1268,1498,3.97,0
499,55,9,2,5,160,4.23,1499,1969,3.93,1
500,55,9,2,6,180,3.97,715,1969,,0
